Deal,URL HubSpot,Pipeline,Etapa,Executivo,Produto,Vidas,Colaboradores,1ª Fatura (R$),ARR Estimado (R$),Modelo,Agenciamento,Vitalício,Probabilidade (%),Quarter,Data Prevista,Dias no Pipe,Jun/26 Real (R$),Jul/26 Real (R$),Ago/26 Real (R$),Set/26 Real (R$),Out/26 Real (R$),Nov/26 Real (R$),Dez/26 Real (R$),Jan/27 Real (R$),Fev/27 Real (R$),Mar/27 Real (R$),Abr/27 Real (R$),Mai/27 Real (R$),Jun/27 Real (R$),Jul/27 Real (R$),Ago/27 Real (R$),Set/27 Real (R$),Out/27 Real (R$),Nov/27 Real (R$),Dez/27 Real (R$),Jan/28 Real (R$),Fev/28 Real (R$),Mar/28 Real (R$),Abr/28 Real (R$),Mai/28 Real (R$),Jun/26 Prob (R$),Jul/26 Prob (R$),Ago/26 Prob (R$),Set/26 Prob (R$),Out/26 Prob (R$),Nov/26 Prob (R$),Dez/26 Prob (R$),Jan/27 Prob (R$),Fev/27 Prob (R$),Mar/27 Prob (R$),Abr/27 Prob (R$),Mai/27 Prob (R$),Jun/27 Prob (R$),Jul/27 Prob (R$),Ago/27 Prob (R$),Set/27 Prob (R$),Out/27 Prob (R$),Nov/27 Prob (R$),Dez/27 Prob (R$),Jan/28 Prob (R$),Fev/28 Prob (R$),Mar/28 Prob (R$),Abr/28 Prob (R$),Mai/28 Prob (R$)
Grupo Massa - Novo(a) Deal - corretagem,https://app.hubspot.com/contacts/44715285/deal/59171676292,Vendas,Consultoria,Juliana Dalberto,Saúde,600,600,403200,241920,Corretagem,Não,Sim,10,Q4,30/11/2026,59,,,,,,20160,20160,20160,20160,20160,20160,20160,20160,20160,20160,20160,20160,20160,20160,20160,20160,20160,20160,20160,,,,,,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
BrD Brasil Distressed,https://app.hubspot.com/contacts/44715285/deal/59225078938,Vendas,Consultoria,André Pontes,"Saúde;Odonto",15,10,43040.09,136867.4862,Corretagem,Sim,Sim,15,Q3,29/08/2026,58,,,43040,43040,43040,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,861,,,6456,6456,6456,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129,129
Lightrock,https://app.hubspot.com/contacts/44715285/deal/59273550388,Vendas,Consultoria,André Pontes,Saúde,36,14,91665.5,291496.29,Corretagem,Sim,Sim,70,Q2,28/08/2026,56,,,91666,91666,91666,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,1833,,,64166,64166,64166,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283,1283
Visum Digital,https://app.hubspot.com/contacts/44715285/deal/59275343508,Vendas,Cotação,André Pontes,"Saúde;Odonto;Vida",55,80,53938.03,12945.1272,Corretagem,Não,Sim,30,Q3,30/10/2026,56,,,,,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,1079,,,,,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324,324
Perfitubo,https://app.hubspot.com/contacts/44715285/deal/59370016399,Vendas,Cotação,Fausto Haderspeck,Saúde,74,65,,,Corretagem,Não,Sim,50,Q4,31/10/2026,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kikkoman Do Brasil,https://app.hubspot.com/contacts/44715285/deal/59419273838,Vendas,Negociação,Rafael Leite,"Saúde;Odonto",261,150,144016.08,216024.12,Corretagem,Sim,Sim,45,Q3,01/11/2026,51,,,,,,136815,7201,7201,7201,7201,7201,7201,7201,7201,7201,7201,7201,7201,7201,7201,7201,7201,7201,7201,,,,,,61567,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240,3240
Amil,https://app.hubspot.com/contacts/44715285/deal/59502863470,Vendas,Consultoria,Guilherme Gabiatti,Gestão de saúde,26000,23000,10800,129600,Fee por vida,Não,Não,50,Q3,01/08/2026,50,,,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,10800,,,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400,5400
3tentos,https://app.hubspot.com/contacts/44715285/deal/59728307741,Vendas,Negociação,Rafael Leite,"Gestão de saúde;Saúde",3000,2800,58039.09,696469.08,Fee por vida,Sim,Sim,60,Q4,02/11/2026,45,,,,,,58039,58039,58039,58039,58039,58039,58039,58039,58039,58039,58039,58039,58039,58039,58039,58039,58039,58039,58039,,,,,,34823,34823,34823,34823,34823,34823,34823,34823,34823,34823,34823,34823,34823,34823,34823,34823,34823,34823,34823
SMART - Seguro de vida,https://app.hubspot.com/contacts/44715285/deal/59814612838,Vendas,Cotação,Juliana Dalberto,Vida,57,57,1234.9,296.376,Corretagem,Não,Não,5,Q2,31/07/2026,44,,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Contourline,https://app.hubspot.com/contacts/44715285/deal/59815010455,Vendas,Consultoria,Guilherme Gabiatti,"Gestão de saúde;Saúde;Odonto",103,200,90000,286200,Corretagem,Sim,Sim,30,Q3,30/09/2026,43,,,,90000,90000,90000,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,1800,,,,27000,27000,27000,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540,540
